sample.id,Abundance,Potential_N,Potential_N_micro,management,N.dosage,Genotype,Inoculant,Growth.stage,Kingdom,Phylum,Class,Order,Family,Genus
B73_N:67_Proven_VT,2.737853729,1521.753388,1.522,N:67_Proven,N:67,B73,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:0_None_VT,2.599647266,823.7605828,0.824,N:0_None,N:0,NIL 1,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:0_None_VT,2.599647266,906.1844817,0.906,N:0_None,N:0,NIL 1,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:0_None_VT,2.599647266,907.7384185,0.908,N:0_None,N:0,NIL 1,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:0_None_VT,2.599647266,1280.82776,1.281,N:0_None,N:0,NIL 1,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:67_None_V8,2.594745909,863.0964207,0.863,N:67_None,N:67,NIL 2,None,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:67_None_V8,2.594745909,1352.706321,1.353,N:67_None,N:67,NIL 2,None,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:67_None_V8,2.594745909,1441.335327,1.441,N:67_None,N:67,NIL 2,None,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:67_None_V8,2.594745909,1787.516619,1.788,N:67_None,N:67,NIL 2,None,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:0_None_V8,2.49399647,516.1674651,0.516,N:0_None,N:0,B73,None,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:0_None_V8,2.49399647,796.9841759,0.797,N:0_None,N:0,B73,None,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:0_None_V8,2.49399647,887.5058724,0.888,N:0_None,N:0,B73,None,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:0_None_V8,2.49399647,1008.689388,1.009,N:0_None,N:0,B73,None,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:0_None_V8,2.49399647,1137.333952,1.137,N:0_None,N:0,B73,None,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:67_None_VT,2.481514345,1291.10839,1.291,N:67_None,N:67,B73,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:67_None_VT,2.481514345,1427.823094,1.428,N:67_None,N:67,B73,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:67_None_VT,2.481514345,1454.325802,1.454,N:67_None,N:67,B73,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:67_None_VT,2.481514345,1945.528892,1.946,N:67_None,N:67,B73,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:0_None_VT,2.315493754,725.1611327,0.725,N:0_None,N:0,NIL 2,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:0_None_VT,2.315493754,904.1219025,0.904,N:0_None,N:0,NIL 2,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:0_None_VT,2.315493754,941.7953171,0.942,N:0_None,N:0,NIL 2,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:0_None_VT,2.315493754,1060.130786,1.06,N:0_None,N:0,NIL 2,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:67_None_V8,2.196481874,922.8785931,0.923,N:67_None,N:67,B73,None,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:67_None_V8,2.196481874,1362.375581,1.362,N:67_None,N:67,B73,None,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:67_None_V8,2.196481874,1404.903666,1.405,N:67_None,N:67,B73,None,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:67_None_V8,2.196481874,1483.401133,1.483,N:67_None,N:67,B73,None,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:67_None_VT,2.185404787,967.3209525,0.967,N:67_None,N:67,NIL 1,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:67_None_VT,2.185404787,987.2726761,0.987,N:67_None,N:67,NIL 1,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:67_None_VT,2.185404787,1364.055813,1.364,N:67_None,N:67,NIL 1,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:67_None_VT,2.185404787,1865.590342,1.866,N:67_None,N:67,NIL 1,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:67_None_VT,2.125004394,1291.10839,1.291,N:67_None,N:67,B73,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:67_None_VT,2.125004394,1427.823094,1.428,N:67_None,N:67,B73,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:67_None_VT,2.125004394,1454.325802,1.454,N:67_None,N:67,B73,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:67_None_VT,2.125004394,1945.528892,1.946,N:67_None,N:67,B73,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:67_Proven_VT,2.083285109,828.7182019,0.829,N:67_Proven,N:67,NIL 2,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:67_Proven_VT,2.083285109,996.0427302,0.996,N:67_Proven,N:67,NIL 2,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:67_Proven_VT,2.083285109,1234.685187,1.235,N:67_Proven,N:67,NIL 2,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:67_Proven_VT,2.083285109,1263.364995,1.263,N:67_Proven,N:67,NIL 2,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:67_None_V8,2.065080445,922.8785931,0.923,N:67_None,N:67,B73,None,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:67_None_V8,2.065080445,1362.375581,1.362,N:67_None,N:67,B73,None,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:67_None_V8,2.065080445,1404.903666,1.405,N:67_None,N:67,B73,None,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:67_None_V8,2.065080445,1483.401133,1.483,N:67_None,N:67,B73,None,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:0_None_V8,2.039207837,1014.828984,1.015,N:0_None,N:0,NIL 1,None,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:0_None_V8,2.039207837,1046.623931,1.047,N:0_None,N:0,NIL 1,None,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:0_None_V8,2.039207837,1251.098298,1.251,N:0_None,N:0,NIL 1,None,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:0_Proven_VT,2.036887814,652.5743808,0.653,N:0_Proven,N:0,NIL 1,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:0_Proven_VT,2.036887814,1031.54789,1.032,N:0_Proven,N:0,NIL 1,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:0_Proven_VT,2.036887814,1133.671066,1.134,N:0_Proven,N:0,NIL 1,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:0_Proven_VT,2.036887814,1414.163439,1.414,N:0_Proven,N:0,NIL 1,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:0_Proven_VT,2.022547574,680.4512021,0.68,N:0_Proven,N:0,NIL 2,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:0_Proven_VT,2.022547574,937.1844556,0.937,N:0_Proven,N:0,NIL 2,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:0_Proven_VT,2.022547574,1031.480165,1.031,N:0_Proven,N:0,NIL 2,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:0_Proven_VT,2.022547574,1531.453704,1.531,N:0_Proven,N:0,NIL 2,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:0_Proven_VT,1.98264528,680.4512021,0.68,N:0_Proven,N:0,NIL 2,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:0_Proven_VT,1.98264528,937.1844556,0.937,N:0_Proven,N:0,NIL 2,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:0_Proven_VT,1.98264528,1031.480165,1.031,N:0_Proven,N:0,NIL 2,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:0_Proven_VT,1.98264528,1531.453704,1.531,N:0_Proven,N:0,NIL 2,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:0_Proven_V8,1.935899716,723.0651062,0.723,N:0_Proven,N:0,NIL 2,Proven,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:0_Proven_V8,1.935899716,819.2903951,0.819,N:0_Proven,N:0,NIL 2,Proven,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:0_Proven_V8,1.935899716,1128.957936,1.129,N:0_Proven,N:0,NIL 2,Proven,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:0_Proven_V8,1.935899716,1291.05898,1.291,N:0_Proven,N:0,NIL 2,Proven,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:67_None_VT,1.92868074,815.7903832,0.816,N:67_None,N:67,NIL 2,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:67_None_VT,1.92868074,1171.951717,1.172,N:67_None,N:67,NIL 2,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:67_None_VT,1.92868074,1310.244886,1.31,N:67_None,N:67,NIL 2,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:67_None_VT,1.92868074,2059.831068,2.06,N:67_None,N:67,NIL 2,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:0_None_VT,1.914115441,725.1611327,0.725,N:0_None,N:0,NIL 2,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:0_None_VT,1.914115441,904.1219025,0.904,N:0_None,N:0,NIL 2,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:0_None_VT,1.914115441,941.7953171,0.942,N:0_None,N:0,NIL 2,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:0_None_VT,1.914115441,1060.130786,1.06,N:0_None,N:0,NIL 2,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:0_Proven_VT,1.913387891,728.0549496,0.728,N:0_Proven,N:0,B73,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:0_Proven_VT,1.913387891,943.0003592,0.943,N:0_Proven,N:0,B73,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:0_Proven_VT,1.913387891,1224.513679,1.225,N:0_Proven,N:0,B73,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:67_Proven_V8,1.897988214,1328.121866,1.328,N:67_Proven,N:67,B73,Proven,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:67_Proven_V8,1.897988214,1483.489554,1.483,N:67_Proven,N:67,B73,Proven,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:67_Proven_V8,1.897988214,1506.148232,1.506,N:67_Proven,N:67,B73,Proven,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:0_None_VT,1.851851852,762.0693177,0.762,N:0_None,N:0,B73,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:0_None_VT,1.851851852,918.170268,0.918,N:0_None,N:0,B73,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:0_None_VT,1.851851852,1033.735045,1.034,N:0_None,N:0,B73,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:0_None_V8,1.826147914,516.1674651,0.516,N:0_None,N:0,B73,None,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:0_None_V8,1.826147914,796.9841759,0.797,N:0_None,N:0,B73,None,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:0_None_V8,1.826147914,887.5058724,0.888,N:0_None,N:0,B73,None,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:0_None_V8,1.826147914,1008.689388,1.009,N:0_None,N:0,B73,None,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:0_None_V8,1.826147914,1137.333952,1.137,N:0_None,N:0,B73,None,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:0_None_VT,1.817207183,823.7605828,0.824,N:0_None,N:0,NIL 1,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:0_None_VT,1.817207183,906.1844817,0.906,N:0_None,N:0,NIL 1,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:0_None_VT,1.817207183,907.7384185,0.908,N:0_None,N:0,NIL 1,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:0_None_VT,1.817207183,1280.82776,1.281,N:0_None,N:0,NIL 1,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:0_None_VT,1.81140579,725.1611327,0.725,N:0_None,N:0,NIL 2,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:0_None_VT,1.81140579,904.1219025,0.904,N:0_None,N:0,NIL 2,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:0_None_VT,1.81140579,941.7953171,0.942,N:0_None,N:0,NIL 2,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 2_N:0_None_VT,1.81140579,1060.130786,1.06,N:0_None,N:0,NIL 2,None,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:67_None_V8,1.785310451,724.7807451,0.725,N:67_None,N:67,NIL 1,None,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:67_None_V8,1.785310451,1045.850344,1.046,N:67_None,N:67,NIL 1,None,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:67_None_V8,1.785310451,1115.461691,1.115,N:67_None,N:67,NIL 1,None,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:67_None_V8,1.785310451,1596.485479,1.596,N:67_None,N:67,NIL 1,None,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:67_Proven_VT,1.783106267,868.406438,0.868,N:67_Proven,N:67,NIL 1,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:67_Proven_VT,1.783106267,936.3858374,0.936,N:67_Proven,N:67,NIL 1,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:67_Proven_VT,1.783106267,948.5851959,0.949,N:67_Proven,N:67,NIL 1,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:67_Proven_VT,1.783106267,1436.633929,1.437,N:67_Proven,N:67,NIL 1,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:0_Proven_V8,1.778491805,903.1248924,0.903,N:0_Proven,N:0,NIL 1,Proven,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:0_Proven_V8,1.778491805,1220.794711,1.221,N:0_Proven,N:0,NIL 1,Proven,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:0_Proven_V8,1.778491805,1229.367502,1.229,N:0_Proven,N:0,NIL 1,Proven,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:67_Proven_VT,1.768594318,868.406438,0.868,N:67_Proven,N:67,NIL 1,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:67_Proven_VT,1.768594318,936.3858374,0.936,N:67_Proven,N:67,NIL 1,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:67_Proven_VT,1.768594318,948.5851959,0.949,N:67_Proven,N:67,NIL 1,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:67_Proven_VT,1.768594318,1436.633929,1.437,N:67_Proven,N:67,NIL 1,Proven,VT,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:67_Proven_V8,1.723270644,1065.906029,1.066,N:67_Proven,N:67,B73,Proven,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:67_Proven_V8,1.723270644,1294.925621,1.295,N:67_Proven,N:67,B73,Proven,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:67_Proven_V8,1.723270644,1865.606589,1.866,N:67_Proven,N:67,B73,Proven,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
B73_N:67_Proven_V8,1.723270644,2027.745224,2.028,N:67_Proven,N:67,B73,Proven,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:0_Proven_V8,1.718914647,903.1248924,0.903,N:0_Proven,N:0,NIL 1,Proven,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:0_Proven_V8,1.718914647,1220.794711,1.221,N:0_Proven,N:0,NIL 1,Proven,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:0_Proven_V8,1.718914647,1229.367502,1.229,N:0_Proven,N:0,NIL 1,Proven,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:67_Proven_V8,1.718614034,1328.121866,1.328,N:67_Proven,N:67,NIL 1,Proven,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
NIL 1_N:67_Proven_V8,1.718614034,1483.489554,1.483,N:67_Proven,N:67,NIL 1,Proven,V8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaeraceae
